id,prompt,demo_answers
p01,The real reason the rishta didn't work out: ___,He still lives with his ammi|She earns more than him|Too much filter in the photos|They support rival cricket teams|His mother answered every question
p02,What every desi uncle asks within 5 minutes of meeting you: ___,Beta what's your salary?|When are you getting married?|Why so thin?|Do you know my friend's son in Canada?|Engineer ya doctor?
p03,The most Karachi way to say I'm five minutes away: ___,I just left the house|Stuck at Do Talwar|Still in the towel honestly|One chai then definitely|Fully lying
p04,What is definitely inside an aunty's purse: ___,Achaar in a recycled jar|Supari for the whole table|Three phones and two work|A spare dupatta|Everyone's medical history
p05,A guaranteed flop name for a desi restaurant: ___,Mild and Disappointing|The Soggy Samosa|Aunty's Revenge|Load-Shedding Lounge|Buffet of Regret
p06,The real reason your WiFi just died: ___,K-Electric obviously|Cousin downloading a whole season|Someone fixed it|Changed to flex the new password|The router finally gave up
p07,What the family WhatsApp group is actually for: ___,Good morning flower GIFs|Forwarding miracle cures|Nine-minute voice notes|Wedding invites in 4K|Pure surveillance
p08,The worst possible gift to bring to a desi dinner: ___,A smaller mithai box than last time|Diet biscuits|Your honest opinions|An empty Tupperware to fill|Yourself two hours late
p09,What khala means when she says MashaAllah you've become healthy: ___,You're fat now|But still get married|I had to point it out|Eat less biryani beta|Lovely... concerning... lovely
p10,The actual reason your cousin moved to Dubai for work: ___,To escape the rishta aunties|Tax-free brunch flexing|Nobody knows what he does|The family group chat|A girl obviously
p11,A chai flavour that should never exist: ___,Karak Cola|Sugar-free chai (haram)|Pineapple Masala|Energy Drink Chai|Cold chai
p12,What is painted on the back of every Karachi rickshaw: ___,Dekh magar pyaar se|Maa ki dua|No touching|A full heartbreak poem|Single hoon
p13,The secret ingredient in nani's biryani she will never reveal: ___,Forty years of guilt|A whole tin of ghee|One mystery bone|Refusing to share it|Love and high blood pressure
p14,The worst thing to say at a desi house during a cricket match: ___,Who's batting?|Is this the football one?|Let's just talk instead|We'll probably lose anyway|Can we change the channel?
p15,The real reason you joined the Zoom call with your camera off: ___,Still in yesterday's kurta|Eating the entire time|Lying down completely|The load-shedding darkness|Watching something else
p16,What 7 PM sharp on a wedding card really means: ___,Food arrives at 11|Maybe 9:30|Sharp for the photographer only|A bold suggestion|See you at midnight
p17,A terrible superpower to have at a desi shaadi: ___,Reading every aunty's thoughts|Summoning more relatives|Knowing what the gold cost|Becoming invisible so you serve everyone|Crying on command
p18,The most haraam thing you can do to a good cup of chai: ___,Microwave it|Tea bag in lukewarm water|Pour it into coffee|Serve it cold|Only one spoon of sugar?
p19,What your parents really mean by log kya kahenge: ___,I have already decided|Do what the neighbours approve|Get married now|My reputation over your happiness|Stop being interesting
p20,The real reason you actually came to this party: ___,The food|To leave early and brag|Free WiFi|Avoiding my own family|Honestly the food again
p21,A rejected slogan for our national airline: ___,InshaAllah on time|We'll land somewhere|Bring your own snacks|The delay is the destination|Fasten your seatbelt eventually
p22,The fastest way to start a fight at a desi dinner table: ___,Pulao is better than biryani|Mention someone's weight|Start the Karachi vs Lahore debate|Ask who is paying|Is your child married yet?
p23,What desi aunties are really doing at a wedding: ___,Scouting rishtas like agents|Judging the catering|Counting the gold|Comparing whose child did better|Filming on full brightness
p24,The most relatable lie a desi person tells: ___,Bas do minute|I'm not hungry you eat|I read the whole forward|The traffic was crazy|No no you shouldn't have
p25,An instant red flag on a rishta biodata: ___,Simple homely and fair|Lists Maggi as a hobby|Height in a hopeful font|Family-oriented (lives with fourteen people)|Photo clearly from 2009
p26,What is guaranteed to be in a desi mom's freezer: ___,Qeema from a forgotten era|Frozen samosas for guests|An ice cream tub full of daal|Mangoes hoarded since summer|Something unlabelled and feared
p27,The real reason the shaadi got postponed: ___,The other family's demands|It clashed with a cricket final|Venue got double-booked|Cold feet and warm excuses|Money but we'll say timing
p28,What every desi dad says when the AC is on: ___,Do you know the bill?|Open a window for free hawa|In my time we had one fan|Bijli paison se aati hai|Turns it off the moment you leave
p29,The worst thing to hear at the barber or parlour when they finish: ___,Trust me it will settle|It is the latest style|Looks better than the photo|Thora chhota ho gaya|Silence then a mirror
p30,A reality show that would only work in Pakistan: ___,Karachi Traffic Survivor|Rishta or No Rishta|Whose Plot Is It Anyway|Load-Shedding Masterchef|Aunty Knows Best
